jogador,time,ano
Léo Jardim,3454,2024
Keiller,3454,2024
Pablo,3454,2024
Luiz Gustavo Marinho Ribeiro Dos Santos,3454,2024
José Luis Rodríguez,3454,2024
Léo,3454,2024
Maicon,3454,2024
Lucas Piton,3454,2024
Victor Luis,3454,2024
Robert Rojas,3454,2024
Lyncon Correa Gonçalves,3454,2024
João Victor,3454,2024
Paulo Henrique,3454,2024
Souza,3454,2024
Jair,3454,2024
Dimitri Payet,3454,2024
Philippe Coutinho,3454,2024
Guilherme Estrella,3454,2024
Emerson Rodríguez,3454,2024
Paulinho,3454,2024
Juan Sforza,3454,2024
Jean Meneses,3454,2024
Hugo Moura,3454,2024
Maxime Dominguez,3454,2024
Pablo Galdames,3454,2024
Adson,3454,2024
Rossi,3454,2024
Lucas Eduardo De Souza Oliveira,3454,2024
Leandrinho,3454,2024
Matheus Carvalho,3454,2024
JP,3454,2024
Bruno Lopes,3454,2024
David,3454,2024
Alegria,3454,2024
Rayan Rocha,3454,2024
Alex Teixeira,3454,2024
Pablo Vegetti,3454,2024
Gabriel Souza Da Silva,3454,2024
Gabriel Delfim,7632,2024
Pedro Cobra,7632,2024
Éverson,7632,2024
Robert,7632,2024
Matheus Mendes,7632,2024
Gabriel Atila,7632,2024
Lyanco,7632,2024
Bruno Fuchs,7632,2024
Mauricio Lemos,7632,2024
Júnior Alonso,7632,2024
Guilherme Arana,7632,2024
Igor Rabello,7632,2024
Mariano,7632,2024
Renzo Saravia,7632,2024
Renan Santana,7632,2024
David Kauã,7632,2024
Rubens,7632,2024
Julio César,7632,2024
Rômulo,7632,2024
Vitor Reis,7632,2024
Otávio,7632,2024
Gustavo Scarpa,7632,2024
Matías Zaracho,7632,2024
Igor Gomes,7632,2024
Fausto Vera,7632,2024
Bernard,7632,2024
Rodrigo Battaglia,7632,2024
Alan Franco,7632,2024
Paulo Vitor,7632,2024
Mateus Iseppe,7632,2024
Zé Phelipe,7632,2024
Victor Hugo,7632,2024
João Rafael,7632,2024
Alisson Santana,7632,2024
Hulk,7632,2024
Deyverson,7632,2024
Paulinho,7632,2024
Eduardo Vargas,7632,2024
Alan Kardec,7632,2024
Lucas Louback,7632,2024
Brahian Palacios,7632,2024
Robert Santos,7632,2024
Caio Maia,7632,2024
Carlos Eduardo,7632,2024
Agustín Marchesín,6273,2024
Thiago Stallbaum,6273,2024
Caíque,6273,2024
Rafael,6273,2024
Felipe,6273,2024
Fabio,6273,2024
Pedro Geromel,6273,2024
Wálter Kannemann,6273,2024
Rodrigo Ely,6273,2024
Reinaldo,6273,2024
João Pedro,6273,2024
Mayk,6273,2024
Jemerson,6273,2024
Rodrigo Caio,6273,2024
Igor Schlemper,6273,2024
Natã,6273,2024
Viery Fernandes Santos Lopes,6273,2024
Zé Guilherme,6273,2024
Wesley Da Costa Silva,6273,2024
Athos Thawan,6273,2024
Gustavo Martins,6273,2024
João Lima,6273,2024
Yeferson Soteldo,6273,2024
Franco Cristaldo,6273,2024
Miguel Monsalve,6273,2024
Nathan,6273,2024
Edenilson,6273,2024
Dodi,6273,2024
Mathías Villasanti,6273,2024
Pepê,6273,2024
Ronald Falkoski,6273,2024
Du Queiroz,6273,2024
Jardiel,6273,2024
Caio Araújo,6273,2024
Hiago,6273,2024
Mila,6273,2024
Luis Henrique Hoffmann,6273,2024
João Vitor Araújo Da Silva,6273,2024
Bruno Cheron,6273,2024
Kaick,6273,2024
Riquelme Freitas Dos Santos,6273,2024
Douglas Arezo,6273,2024
Alexander Aravena,6273,2024
Diego Costa,6273,2024
Cristian Pavón,6273,2024
Martin Braithwaite,6273,2024
