nome,espn_id,posicao,idade,altura,nacionalidade
João Alves,387686,MEIO-CAMPO,19,,Brasil
Evertton,334752,MEIO-CAMPO,21,1.73,Brasil
Caio Vinicius,358161,MEIO-CAMPO,20,1.8,Brasil
Luis Aucélio,382849,MEIO-CAMPO,18,,Brasil
Daniel Rogério,359449,MEIO-CAMPO,19,1.73,Brasil
Wallace Yan De Souza Barreto,358167,MEIO-CAMPO,19,1.75,Brasil
Luiz Araújo,234765,ATACANTE,28,1.75,Brasil
Pedro,235017,ATACANTE,27,1.85,Brasil
Everton,198940,ATACANTE,28,1.75,Brasil
Matheus Gonçalves,334379,ATACANTE,19,1.78,Brasil
Carlinhos,246711,ATACANTE,27,1.96,Brasil
Bruno Henrique,201683,ATACANTE,33,1.83,Brasil
Felipe Teresa,382846,ATACANTE,18,1.83,Brasil
Gonzalo Plata,277352,ATACANTE,23,1.78,Equador
Felipe Lima,366742,ATACANTE,18,1.85,Brasil
Guilherme Henrique Bernardineli Gomes,379497,ATACANTE,18,,Brasil
Shola Ogundana,382847,ATACANTE,19,1.73,Nigéria
Pedro Henrique Leão Alves Lopes,379317,ATACANTE,18,1.83,Brasil
Adriel,388806,ATACANTE,18,,Brasil
Gabriel Barbosa,182522,ATACANTE,28,1.78,Brasil
Ivan,202493,GOLEIRO,27,1.93,Brasil
Sergio Rochet,184206,GOLEIRO,31,1.91,Uruguai
Fabrício,257387,GOLEIRO,38,1.93,Brasil
Kauan,361392,GOLEIRO,21,1.93,Brasil
Anthoni,315428,GOLEIRO,22,1.93,Brasil
Henrique Menke,382893,GOLEIRO,17,,Brasil
Diego Esser Pereira,379787,GOLEIRO,19,1.93,Brasil
Eduardo Carvalho,382891,DEFENSOR,19,,Brasil
René,173588,DEFENSOR,32,1.75,Brasil
Italo,382894,DEFENSOR,19,,Brasil
Agustin Rogel,254033,DEFENSOR,27,1.91,Uruguai
Clayton,351447,DEFENSOR,24,1.88,Brasil
Nathan,301859,DEFENSOR,23,1.85,Brasil
Gabriel Mercado,76818,DEFENSOR,37,1.8,Argentina
Alexander Bernabei,285029,DEFENSOR,24,1.7,Argentina
Guilherme Bahia,382892,DEFENSOR,18,,Brasil
Kauã Barbosa,382895,DEFENSOR,17,,Brasil
Brian Aguirre,309131,DEFENSOR,24,1.75,Argentina
Carioca,382890,DEFENSOR,17,,Brasil
Victor Gabriel,319790,DEFENSOR,20,,Brasil
Evertow,361375,DEFENSOR,17,1.85,Brasil
Vitão,254145,DEFENSOR,24,1.85,Brasil
Pedro Kauã,382898,DEFENSOR,18,,Brasil
João Dalla Corte,361358,DEFENSOR,18,1.8,Brasil
Fernando,124066,MEIO-CAMPO,37,1.83,Brasil
Hyoran,202201,MEIO-CAMPO,31,1.75,Brasil
Bruno Henrique,188485,MEIO-CAMPO,35,1.78,Brasil
Alan Patrick,165232,MEIO-CAMPO,33,1.78,Brasil
Bruno Gomes,295006,MEIO-CAMPO,23,1.75,Brasil
Thiago Maia,213239,MEIO-CAMPO,27,1.78,Brasil
Anderson,361396,MEIO-CAMPO,19,1.8,Brasil
Gabriel Teixeira,361399,MEIO-CAMPO,17,1.68,Brasil
Rodriguinho,382899,MEIO-CAMPO,18,,Brasil
Luis Otávio,382896,MEIO-CAMPO,17,,Brasil
Rômulo,290441,MEIO-CAMPO,24,,Brasil
Gustavo Prado,361391,MEIO-CAMPO,19,1.78,Brasil
Matheus Cadorini,315115,ATACANTE,22,1.93,Brasil
Pedro Pio,336631,ATACANTE,20,,Brasil
Wanderson,11632,ATACANTE,30,1.75,Brasil
Enner Valencia,171771,ATACANTE,34,1.78,Equador
Bruno Tabata,260059,ATACANTE,27,1.75,Brasil
Wendel,361373,ATACANTE,19,1.73,Brasil
Pedrinho,382897,ATACANTE,19,,Brasil
Rafael Borré,197052,ATACANTE,29,1.75,Colômbia
Wesley,288887,ATACANTE,25,1.78,Brasil
