espn_id,local_,estadio,campeonato,arbitro,data_,horario,audiencia
699547,"Caxias do Sul, Brasil ",Alfredo Jaconi,2024 Brasileiro Serie A ,João Vitor Gobi, 27 de julho,18:00,6564
699548,"São Paulo, Brasil ",Allianz Parque,2024 Brasileiro Serie A ,Caio Max Augusto Vieira, 27 de julho,18:00,39609
699541,"Salvador, Brasil ",Arena Fonte Nova,2024 Brasileiro Serie A ,Matheus Delgado Candançan, 27 de julho,19:00,32950
699542,"Rio de Janeiro, Brasil ",Estádio Nilton Santos,2024 Brasileiro Serie A ,Wilton Pereira Sampaio, 27 de julho,20:30,24057
699545,"Fortaleza, Brasil ",Castelão,2024 Brasileiro Serie A ,Davi De Oliveira Lacerda, 27 de julho,20:30,41322
699549,"Bragança Paulista, Brasil ",Estádio Nabi Abi Chedid,2024 Brasileiro Serie A ,Lucas Paulo Torezin, 28 de julho,10:00,7304
699544,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Gustavo Ervino Bauermann, 28 de julho,15:00,63016
699540,"Belo Horizonte, Brasil ",Arena MRV,2024 Brasileiro Serie A ,Bruno Arleu de Araujo, 28 de julho,18:00,44048
699543,"Cuiabá, Brasil ",Arena Pantanal,2024 Brasileiro Serie A ,Jefferson Ferreira De Moraes, 28 de julho,18:00,4452
699546,"Chapecó, Brasil ",Arena Condá,2024 Brasileiro Serie A ,Paulo Cezar Zanovelli Da Silva, 28 de julho,18:00,17543
699555,"Salvador, Brasil ",Estádio Manoel Barradas,2024 Brasileiro Serie A ,João Vitor Gobi, 3 de agosto,15:00,26715
699558,"Rio de Janeiro, Brasil ",Estádio São Januário,2024 Brasileiro Serie A ,Gustavo Ervino Bauermann, 3 de agosto,18:00,17938
699551,"Goiãnia, Brasil ",Estádio Antônio Accioly,2024 Brasileiro Serie A ,Felipe Fernandes De Lima, 3 de agosto,19:00,8618
