id_partida,time,chute_gol,chute,gol,defesa,posse
699504,Cruzeiro,6,14,2,3,55.4
699502,Athletico-PR,8,22,1,2,51.9
699502,Bahia,5,7,3,7,48.1
699507,Vasco da Gama,3,14,2,2,50.3
699507,Corinthians,2,11,0,1,49.7
699508,Palmeiras,6,23,3,2,64.4
699508,Atlético-GO,3,11,1,4,35.6
699500,Criciúma,4,13,1,9,40.1
699500,Fluminense,10,18,1,3,59.9
699505,Flamengo,7,21,1,1,70.3
699505,Fortaleza,2,7,2,6,29.7
699501,Atlético-MG,5,14,2,3,61.9
699501,São Paulo,4,11,1,3,38.1
699506,Vitória,5,11,0,3,45.9
699506,Botafogo,4,15,1,4,54.1
699516,Bahia,2,14,1,1,63.7
699516,Cuiabá,3,14,2,1,36.3
699513,Cruzeiro,4,10,2,4,53.1
699513,Red Bull Bragantino,5,15,1,2,46.9
699518,Juventude,2,8,1,3,26.6
699518,Atlético-MG,5,20,1,1,73.4
699514,Corinthians,7,14,2,3,53.9
699514,Criciúma,4,16,1,4,46.1
699517,Atlético-GO,7,19,0,4,52.2
699517,Vasco da Gama,5,14,1,7,47.8
699519,São Paulo,8,14,1,5,54.5
699519,Grêmio,5,19,0,7,45.5
699515,Botafogo,7,16,1,5,43.3
699515,Palmeiras,5,18,0,6,56.7
699511,Fortaleza,4,12,3,2,47.8
699511,Vitória,3,11,1,1,52.2
699524,Flamengo,6,15,2,3,62.8
699524,Criciúma,4,16,1,4,37.2
699526,Botafogo,4,10,1,1,48.2
699526,Internacional,1,10,0,3,51.8
699520,Palmeiras,5,15,2,2,42.6
699520,Cruzeiro,2,8,0,3,57.4
699522,Grêmio,6,13,2,0,58.9
699522,Vitória,0,5,0,4,41.1
699528,Atlético-MG,3,15,2,1,54.3
699528,Vasco da Gama,1,8,0,0,45.7
699527,Bahia,7,17,0,1,65.4
699527,Corinthians,2,7,1,6,34.6
699523,Fortaleza,3,12,3,1,60.1
699523,Atlético-GO,2,10,1,1,39.9
699521,Juventude,0,10,0,2,37.4
699521,São Paulo,2,11,0,0,62.6
699529,Red Bull Bragantino,3,12,1,7,35.1
699529,Athletico-PR,7,19,0,2,64.9
699525,Cuiabá,6,16,0,3,47.4
699525,Fluminense,4,10,1,6,52.6
699374,Criciúma,7,13,1,3,48.0
699374,Fortaleza,4,15,1,6,52.0
699534,Cruzeiro,5,12,2,2,55.4
699534,Juventude,2,7,0,3,44.6
699531,São Paulo,6,15,2,4,68.9
699531,Botafogo,6,12,2,4,31.1
699539,Vitória,3,10,1,1,43.4
699539,Flamengo,4,8,2,2,56.6
699537,Atlético-GO,4,15,1,1,29.4
699537,Bahia,2,7,1,4,70.6
699533,Fluminense,2,14,1,1,50.2
699533,Palmeiras,1,7,0,1,49.8
699536,Corinthians,7,14,2,5,63.8
699536,Grêmio,7,18,2,5,36.2
699547,Juventude,5,12,1,5,58.4
699547,Criciúma,7,14,2,4,41.6
699548,Palmeiras,3,21,0,1,70.6
699548,Vitória,3,10,2,3,29.4
699541,Bahia,3,9,1,1,51.4
699541,Internacional,2,12,1,2,48.6
699542,Botafogo,10,19,0,2,58.6
699542,Cruzeiro,5,12,3,10,41.4
699545,Fortaleza,2,11,1,1,36.7
699545,São Paulo,1,12,0,1,63.3
699549,Red Bull Bragantino,2,13,0,2,58.9
699549,Fluminense,3,7,1,2,41.1
699544,Flamengo,6,12,2,4,53.0
699544,Atlético-GO,3,12,0,3,47.0
699540,Atlético-MG,4,10,2,6,67.5
699540,Corinthians,7,11,1,2,32.5
699543,Cuiabá,5,21,1,2,49.8
699543,Athletico-PR,4,11,2,4,50.2
699546,Grêmio,3,20,1,1,52.9
699546,Vasco da Gama,1,13,0,2,47.1
699555,Vitória,3,17,1,2,46.8
699555,Cuiabá,2,9,0,3,53.2
699558,Vasco da Gama,3,11,2,1,63.6
699558,Red Bull Bragantino,3,7,2,1,36.4
699551,Atlético-GO,3,9,1,6,47.7
699551,Botafogo,9,13,4,2,52.3
699553,Criciúma,5,13,2,1,27.1
699553,Atlético-MG,3,19,1,3,72.9
699557,São Paulo,3,15,1,0,59.3
699557,Flamengo,0,8,0,2,40.7
699550,Athletico-PR,3,18,0,5,74.6
699550,Grêmio,7,9,2,3,25.4
699552,Corinthians,10,34,1,2,64.1
699552,Juventude,3,6,1,9,35.9
699554,Fluminense,6,12,1,3,49.0
699554,Bahia,3,11,0,5,51.0
699556,Internacional,7,16,1,4,40.5
699556,Palmeiras,5,17,1,6,59.5
699559,Cruzeiro,7,15,1,2,68.3
